name	lat	lon
Bartow, FL	27.896	-81.843
Bayonet Point, FL	28.327	-82.683
Bayshore Gardens, FL	27.425	-82.59
Belle Glade, FL	26.685	-80.668
Bellview, FL	30.462	-87.315
Beverly Hills, FL	28.917	-82.458
Bloomingdale, FL	27.894	-82.24
Boca Del Mar, FL	26.345	-80.147
Boca Raton, FL	26.359	-80.083
Bonita Springs, FL	26.34	-81.779
Bowling Green, FL	27.638	-81.824
Boynton Beach, FL	26.525	-80.066
Bradenton, FL	27.499	-82.575
Brandon, FL	27.938	-82.286
Brent, FL	30.469	-87.236
Bristol, FL	30.432	-84.976
Brownsville, FL	25.822	-80.241
Buenaventura Lakes, FL	28.336	-81.353
Campbell, FL	28.259	-81.456
Cape Coral, FL	26.563	-81.95
Carol City, FL	25.941	-80.246
Carrollwood, FL	28.05	-82.493
Carrollwood Village, FL	28.068	-82.521
Casselberry, FL	28.678	-81.328
Citrus Park, FL	28.078	-82.57
Clearwater, FL	27.966	-82.8
Clermont, FL	28.549	-81.773
Cleveland, FL	26.962	-81.984
Cocoa, FL	28.386	-80.742
Coconut Creek, FL	26.252	-80.179
Conway, FL	28.503	-81.331
Cooper City, FL	26.057	-80.272
Coral Gables, FL	25.721	-80.268
Coral Springs, FL	26.271	-80.271
Coral Terrace, FL	25.746	-80.304
Country Walk, FL	25.634	-80.432
Country Club, FL	25.948	-80.317
Crestview, FL	30.762	-86.571
Crystal Lake, FL	28.036	-81.908
Cutler, FL	25.615	-80.311
Cutler Ridge, FL	25.581	-80.347
Dania Beach, FL	26.052	-80.144
Davenport, FL	28.161	-81.602
Davie, FL	26.063	-80.233
Daytona Beach, FL	29.211	-81.023
DeLand, FL	29.028	-81.303
DeBary, FL	28.883	-81.309
Deerfield Beach, FL	26.318	-80.1
Delray Beach, FL	26.461	-80.073
Deltona, FL	28.901	-81.264
Doral, FL	25.82	-80.355
Dover, FL	27.994	-82.22
Dunedin, FL	28.02	-82.772
East Lake, FL	28.111	-82.695
East Pensacola Heights, FL	30.429	-87.18
Edgewater, FL	28.989	-80.902
Edgewood, FL	28.486	-81.372
Egypt Lake-Leto, FL	28.018	-82.506
Englewood, FL	26.962	-82.353
Ensley, FL	30.519	-87.273
Estero, FL	26.438	-81.807
Eustis, FL	28.853	-81.685
Ferry Pass, FL	30.51	-87.212
Florida Ridge, FL	27.58	-80.387
Fort Lauderdale, FL	26.122	-80.143
Fort Myers, FL	26.622	-81.841
Fort Pierce, FL	27.447	-80.326
Fort Walton Beach, FL	30.406	-86.619
Fountainebleau, FL	25.773	-80.348
Franklin, FL	29.748	-85.028
Freeport, FL	30.498	-86.136
Fruit Cove, FL	30.111	-81.642
Gainesville, FL	29.652	-82.325
Geneva, FL	28.74	-81.115
Glenvar Heights, FL	25.708	-80.326
Golden Gate, FL	26.188	-81.695
Golden Glades, FL	25.912	-80.2
Greenacres City, FL	26.624	-80.125
Gretna, FL	30.617	-84.66
Grove City, FL	26.914	-82.327
Gulfport, FL	27.748	-82.703
Haines City, FL	28.114	-81.618
Hallandale Beach, FL	25.981	-80.148
Haverhill, FL	26.691	-80.12
Hawthorne, FL	29.592	-82.087
Hawthorne, FL	28.761	-81.871
Hialeah, FL	25.858	-80.278
Hialeah Gardens, FL	25.865	-80.325
High Point, 	26.466	-80.128
Hilliard, FL	30.691	-81.917
Holiday, FL	28.188	-82.74
Hollywood, FL	26.011	-80.149
Homestead, FL	25.469	-80.478
Hudson, FL	28.364	-82.693
Immokalee, FL	26.419	-81.417
Iona, FL	26.52	-81.964
Ives Estates, FL	25.962	-80.177
Jacksonville, FL	30.332	-81.656
Jacksonville Beach, FL	30.295	-81.393
Jasmine Estates, FL	28.293	-82.69
Jasper, FL	30.518	-82.948
Jupiter, FL	26.934	-80.094
Kendale Lakes, FL	25.708	-80.407
Kendall, FL	25.679	-80.317
Key West, FL	24.556	-81.783
Keystone, FL	28.156	-82.621
Kissimmee, FL	28.305	-81.417
Lake Butler, FL	30.023	-82.34
Lake Butler, FL	28.502	-81.541
Lake Forest, FL	25.978	-80.183
Lake Magdalene, FL	28.074	-82.472
Lake Worth, FL	26.616	-80.057
Lake Worth Corridor, FL	26.616	-80.101
Lakeland, FL	28.039	-81.95
Lakeside, FL	30.13	-81.768
Land O' Lakes, FL	28.219	-82.458
Largo, FL	27.909	-82.787
Lauderdale Lakes, FL	26.166	-80.208
Lauderhill, FL	26.14	-80.213
Laurel, FL	27.144	-82.462
Lealman, FL	27.821	-82.679
Leesburg, FL	28.811	-81.878
Lehigh Acres, FL	26.625	-81.625
Leisure City, FL	25.495	-80.429
Lutz, FL	28.151	-82.461
Lynn Haven, FL	30.245	-85.648
Macon, FL	30.495	-84.279
Madison, FL	30.469	-83.413
Maitland, FL	28.628	-81.363
Margate, FL	26.245	-80.206
Meadow Woods, FL	28.386	-81.366
Melbourne, FL	28.084	-80.608
Melrose Park, FL	26.113	-80.193
Memphis, FL	27.536	-82.561
Merritt Island, FL	28.539	-80.672
Miami, FL	25.774	-80.194
Miami Beach, FL	25.791	-80.13
Miami Gardens, FL	25.98	-80.203
Miami Gardens, FL	25.942	-80.246
Miami Lakes, FL	25.909	-80.309
Milton, FL	30.632	-87.04
Miramar, FL	25.987	-80.232
Myrtle Grove, FL	30.421	-87.307
Naples, FL	26.142	-81.795
Navarre, FL	30.402	-86.864
New Hope, FL	30.578	-85.809
New Smyrna Beach, FL	29.026	-80.927
Norland, FL	25.949	-80.212
North Fort Myers, FL	26.667	-81.88
North Lauderdale, FL	26.217	-80.226
North Miami, FL	25.89	-80.187
North Miami Beach, FL	25.933	-80.163
North Port, FL	27.044	-82.236
Oak Hill, FL	28.864	-80.855
Oak Ridge, FL	28.471	-81.425
Oakland, FL	28.555	-81.633
Oakland Park, FL	26.172	-80.132
Ocala, FL	29.187	-82.14
Ocoee, FL	28.569	-81.544
Odessa, FL	28.194	-82.592
Ojus, FL	25.948	-80.151
Opa-locka, FL	25.902	-80.25
Orlando, FL	28.538	-81.379
Ormond Beach, FL	29.286	-81.056
Oviedo, FL	28.67	-81.208
Pace, FL	30.599	-87.161
Palm Bay, FL	28.034	-80.589
Palm Beach Gardens, FL	26.823	-80.139
Palm City, FL	27.168	-80.266
Palm Coast, FL	29.585	-81.208
Palm Harbor, FL	28.078	-82.764
Palm Springs, FL	26.636	-80.096
Palm Valley, FL	30.177	-81.388
Palmetto Bay, FL	25.622	-80.325
Panama City, FL	30.159	-85.66
Parker, FL	30.131	-85.603
Parkland, FL	26.31	-80.237
Pembroke Pines, FL	26.003	-80.224
Pensacola, FL	30.421	-87.217
Pine Hills, FL	28.558	-81.453
Pinecrest, FL	25.667	-80.308
Pinellas Park, FL	27.843	-82.7
Pinewood, FL	25.869	-80.217
Plant City, FL	28.019	-82.113
Plantation, FL	26.134	-80.232
Plantation, FL	24.976	-80.552
Plantation, FL	27.068	-82.373
Pleasant Grove, FL	30.359	-87.345
Poinciana, FL	28.14	-81.458
Pompano Beach, FL	26.238	-80.125
Ponte Vedra Beach, FL	30.24	-81.386
Port Charlotte, FL	26.976	-82.091
Port Orange, FL	29.138	-80.996
Port Saint Lucie, FL	27.294	-80.35
Princeton, FL	25.538	-80.409
Punta Gorda, FL	26.93	-82.045
Punta Gorda Isles, FL	26.918	-82.078
Quincy, FL	30.587	-84.583
Richmond West, FL	25.61	-80.43
Ridgecrest, FL	27.897	-82.803
Riverview, FL	27.866	-82.326
Riviera Beach, FL	26.775	-80.058
Rock Island, FL	26.155	-80.177
Rockledge, FL	28.351	-80.725
Royal Palm Beach, FL	26.708	-80.231
Ruskin, FL	27.721	-82.433
Safety Harbor, FL	27.991	-82.693
Saint Cloud, FL	28.249	-81.281
Saint George, FL	28.056	-82.728
San Carlos Park, FL	26.467	-81.801
Sanford, FL	28.801	-81.273
Sarasota, FL	27.336	-82.531
Seaside, FL	30.321	-86.142
Sebastian, FL	27.816	-80.471
Seminole, FL	27.84	-82.791
Silver Lake, FL	28.842	-81.798
South Bradenton, FL	27.463	-82.582
South Miami Heights, FL	25.598	-80.381
South Pasadena, FL	27.755	-82.738
Southchase, FL	28.393	-81.383
Southgate, FL	27.308	-82.51
Spring Hill, FL	28.477	-82.525
Springfield, FL	30.153	-85.611
Stuart, FL	27.198	-80.253
Sun City Center, FL	27.718	-82.352
Sunny Isles Beach, FL	25.951	-80.123
Sunrise, FL	26.158	-80.286
Sunset, FL	25.706	-80.352
Tallahassee, FL	30.438	-84.281
Tamarac, FL	26.213	-80.25
Tamiami, FL	25.759	-80.398
Tampa, FL	27.948	-82.458
Tarpon Springs, FL	28.146	-82.757
Temple Terrace, FL	28.035	-82.389
The Crossings, FL	25.671	-80.401
The Hammocks, FL	25.671	-80.445
The Villages, FL	28.934	-81.96
Three Lakes, FL	25.642	-80.398
Titusville, FL	28.612	-80.808
Town 'n' Country, FL	28.011	-82.577
Trenton, FL	29.613	-82.818
University Park, FL	25.746	-80.368
Valparaiso, FL	30.509	-86.503
Valrico, FL	27.938	-82.236
Venice, FL	27.1	-82.454
Vero Beach, FL	27.639	-80.397
Watertown, FL	30.192	-82.615
Wekiwa Springs, FL	28.699	-81.426
Wellington, FL	26.659	-80.241
Wesley Chapel, FL	28.24	-82.328
Westchase, FL	28.055	-82.61
West Little River, FL	25.857	-80.237
West Melbourne, FL	28.072	-80.653
West Palm Beach, FL	26.715	-80.053
West Pensacola, FL	30.427	-87.28
West and East Lealman, FL	27.82	-82.689
Westchester, FL	25.755	-80.327
Weston, FL	26.1	-80.4
Wildwood, FL	28.865	-82.039
Winter Garden, FL	28.565	-81.586
Winter Haven, FL	28.022	-81.733
Winter Park, FL	28.6	-81.339
Winter Springs, FL	28.699	-81.308
Wright, FL	30.456	-86.638
Acworth, GA	34.066	-84.677
Alamo, GA	32.147	-82.778
Albany, GA	31.579	-84.156
Alpharetta, GA	34.075	-84.294
Americus, GA	32.072	-84.233
Arlington, GA	31.44	-84.725
Athens, GA	33.961	-83.378
Atlanta, GA	33.749	-84.388
Auburn, GA	34.014	-83.828
Augusta, GA	33.471	-81.975
Avondale, GA	32.692	-83.637
Baldwin, GA	34.492	-83.537
Belvedere Park, GA	33.755	-84.267
Bloomingdale, GA	32.132	-81.299
Boston, GA	30.792	-83.79
Brunswick, GA	31.15	-81.491
Calhoun, GA	34.503	-84.951
Canton, GA	34.237	-84.491
Carrollton, GA	33.58	-85.077
Cartersville, GA	34.165	-84.8
Cedar Hill, GA	34.022	-83.765
Centennial, GA	33.586	-83.612
Centerville, GA	32.63	-83.69
Chatsworth, GA	34.766	-84.77
Chester, GA	32.394	-83.153
Clayton, GA	34.878	-83.401
Cleveland, GA	34.597	-83.763
College Park, GA	33.653	-84.449
Columbus, GA	32.461	-84.988
Conyers, GA	33.668	-84.018
Covington, GA	33.597	-83.86
Dalton, GA	34.77	-84.97
Dallas, GA	33.924	-84.841
Darien, GA	31.37	-81.434
Decatur, GA	33.775	-84.296
Douglas, GA	31.509	-82.85
Douglasville, GA	33.751	-84.748
Dublin, GA	32.54	-82.904
Duluth, GA	34.003	-84.145
Dunwoody, GA	33.946	-84.335
East Point, GA	33.68	-84.439
Edison, GA	31.558	-84.738
Evans, GA	33.534	-82.131
Fair Oaks, GA	33.916	-84.545
Fayetteville, GA	33.449	-84.455
Forest Park, GA	33.622	-84.369
Franklin, GA	33.278	-85.098
Gainesville, GA	34.298	-83.824
Garden City, GA	32.114	-81.154
Georgetown, GA	31.983	-81.227
Georgetown, GA	31.885	-85.107
Greensboro, GA	33.576	-83.182
Greenville, GA	33.029	-84.713
Griffin, GA	33.247	-84.264
Hamilton, GA	32.758	-84.875
Helena, GA	32.074	-82.915
Hinesville, GA	31.847	-81.596
Holly Springs, GA	34.174	-84.501
Jackson, GA	33.295	-83.966
Jasper, GA	34.468	-84.429
Jeffersonville, GA	32.688	-83.347
Jonesboro, GA	33.522	-84.354
Kennesaw, GA	34.023	-84.615
Kingsland, GA	30.8	-81.69
Knoxville, GA	32.724	-83.998
Lakeland, GA	31.041	-83.075
Lawrenceville, GA	33.956	-83.988
Leesburg, GA	31.732	-84.171
Lexington, GA	33.87	-83.112
Lithia Springs, GA	33.794	-84.66
Louisville, GA	33.002	-82.411
Lynn, GA	30.98	-84.615
Mableton, GA	33.816	-84.562
Macon, GA	32.841	-83.632
Madison, GA	33.596	-83.468
Manchester, GA	32.86	-84.62
Marietta, GA	33.953	-84.55
Martinez, GA	33.517	-82.076
McDonough, GA	33.447	-84.147
Milledgeville, GA	33.08	-83.232
Monroe, GA	33.795	-83.713
Montgomery, GA	31.94	-81.122
Mount Vernon, GA	32.179	-82.595
Nashville, GA	31.207	-83.25
Newnan, GA	33.381	-84.8
Newton, GA	31.313	-84.336
North Decatur, GA	33.79	-84.306
North Druid Hills, GA	33.817	-84.313
Oxford, GA	33.619	-83.867
Peachtree City, GA	33.397	-84.596
Pelham, GA	31.128	-84.152
Pooler, GA	32.115	-81.247
Redan, GA	33.745	-84.132
Richland, GA	32.088	-84.667
Riverdale, GA	33.573	-84.413
Rome, GA	34.257	-85.165
Roswell, GA	34.023	-84.362
Rossville, GA	34.983	-85.286
St. Marys, GA	30.731	-81.546
Sandy Springs, GA	33.924	-84.379
Savannah, GA	32.084	-81.1
Smyrna, GA	33.884	-84.514
Snellville, GA	33.857	-84.02
Sparks, GA	31.167	-83.437
Sparks, GA	33.088	-82.738
Springfield, GA	32.372	-81.312
Statesboro, GA	32.449	-81.783
Stockbridge, GA	33.544	-84.234
Sugar Hill, GA	34.106	-84.034
Summerville, GA	34.481	-85.348
Sunnyside, GA	31.239	-82.342
Sunset, GA	31.104	-83.794
Suwanee, GA	34.051	-84.071
Sylvania, GA	32.75	-81.637
Thomasville, GA	30.837	-83.979
Tifton, GA	31.45	-83.508
Trenton, GA	34.872	-85.509
Tucker, GA	33.855	-84.217
Union City, GA	33.587	-84.542
Valdosta, GA	30.833	-83.278
Warner Robins, GA	32.621	-83.6
Washington, GA	33.737	-82.739
Wilmington Island, GA	32.004	-80.974
Woodstock, GA	34.101	-84.519
Altamont, IL	39.062	-88.748
Alton, IL	38.891	-90.184
Ashland, IL	39.888	-90.008
Athens, IL	39.961	-89.724
Auburn, IL	39.592	-89.746
Benton, IL	37.997	-88.92
Bethany, IL	39.646	-88.738
Belleville, IL	38.52	-89.984
Bridgeport, IL	38.706	-87.76
Brighton, IL	39.04	-90.141
Burton, IL	39.905	-91.249
Cahokia, IL	38.571	-90.19
Carbondale, IL	37.727	-89.217
Carrollton, IL	39.302	-90.407
Centralia, IL	38.525	-89.133
Charleston, IL	39.496	-88.176
Chester, IL	37.914	-89.822
Collinsville, IL	38.67	-89.985
Columbia, IL	38.444	-90.201
Decatur, IL	39.84	-88.955
East Saint Louis, IL	38.624	-90.151
Edinburg, IL	39.657	-89.39
Edwardsville, IL	38.811	-89.953
Elizabethtown, IL	37.446	-88.305
Fairfield, IL	38.379	-88.36
Fairview Heights, IL	38.589	-89.99
Georgetown, IL	39.975	-87.636
Germantown, IL	38.554	-89.538
Godfrey, IL	38.956	-90.187
Grandview, IL	39.816	-89.619
Granite City, IL	38.701	-90.149
Greenfield, IL	39.344	-90.213
Greenville, IL	38.892	-89.413
Harrisburg, IL	37.738	-88.541
Highland, IL	38.739	-89.671
Hillsboro, IL	39.161	-89.494
Jackson, IL	38.721	-87.65
Jacksonville, IL	39.734	-90.229
Jonesboro, IL	37.452	-89.268
Lawrenceville, IL	38.729	-87.682
Lebanon, IL	38.604	-89.807
Louisville, IL	38.772	-88.503
Macon, IL	39.713	-88.997
Madison, IL	38.683	-90.157
Marion, IL	37.731	-88.933
Maryville, IL	38.724	-89.956
Mattoon, IL	39.483	-88.373
Mitchell, IL	38.762	-90.085
Mount Vernon, IL	38.317	-88.903
Nashville, IL	38.344	-89.381
New Berlin, IL	39.725	-89.911
O'Fallon, IL	38.592	-89.911
Olney, IL	38.731	-88.085
Payson, IL	39.817	-91.242
Pittsfield, IL	39.608	-90.805
Quincy, IL	39.936	-91.41
Raleigh, IL	37.827	-88.532
Ramsey, IL	39.144	-89.109
Riverton, IL	39.844	-89.54
Rochester, IL	39.749	-89.532
Salem, IL	38.627	-88.946
Shelbyville, IL	39.406	-88.79
Springfield, IL	39.802	-89.644
Swansea, IL	38.534	-89.989
Toledo, IL	39.274	-88.244
Trenton, IL	38.606	-89.682
Troy, IL	38.729	-89.883
Upper Alton, IL	38.911	-90.151
Vandalia, IL	38.961	-89.094
Venice, IL	38.672	-90.17
Warrensburg, IL	39.933	-89.062
Waterloo, IL	38.336	-90.15
Waverly, IL	39.592	-89.953
Winchester, IL	39.63	-90.456
Windsor, IL	39.441	-88.595
Austin, IN	38.758	-85.808
Avon, IN	39.763	-86.4
Bedford, IN	38.861	-86.487
Bloomfield, IN	39.027	-86.938
Bloomington, IN	39.165	-86.526
Bridgeport, IN	39.732	-86.317
Brooklyn, IN	39.539	-86.369
Brownsburg, IN	39.843	-86.398
Carmel, IN	39.978	-86.118
Centerville, IN	39.818	-84.996
Chandler, IN	38.042	-87.368
Clarksville, IN	38.297	-85.76
Clermont, IN	39.81	-86.322
Clinton, IN	39.657	-87.398
Columbus, IN	39.201	-85.921
Cortland, IN	38.973	-85.964
Cumberland, IN	39.776	-85.957
Danville, IN	39.761	-86.526
Evansville, IN	37.975	-87.556
Fairview Park, IN	39.68	-87.418
Fishers, IN	39.956	-86.014
Geneva, IN	39.392	-85.72
Georgetown, IN	38.295	-85.976
Greenfield, IN	39.785	-85.769
Greenwood, IN	39.614	-86.107
Hagerstown, IN	39.911	-85.162
Hanover, IN	38.714	-85.474
Highland, IN	38.04	-87.573
Indianapolis, IN	39.768	-86.158
Jasper, IN	38.391	-86.931
Jeffersonville, IN	38.278	-85.737
Lawrence, IN	39.839	-86.025
Liberty, IN	39.636	-84.931
Lowell, 	39.253	-85.946
Madison, IN	38.736	-85.38
Mitchell, IN	38.733	-86.474
Monrovia, IN	39.579	-86.482
Mooresville, IN	39.613	-86.374
Morristown, IN	39.673	-85.699
Mount Pleasant, IN	38.652	-86.892
Mount Vernon, IN	37.932	-87.895
Nashville, IN	39.207	-86.251
New Albany, IN	38.286	-85.824
New Castle, IN	39.929	-85.37
Newburgh, IN	37.944	-87.405
Newport, IN	39.884	-87.409
Oak Park, IN	38.306	-85.696
Pendleton, IN	39.998	-85.747
Plainfield, IN	39.704	-86.399
Princeton, IN	38.355	-87.568
Providence, IN	39.491	-86.177
Richmond, IN	39.829	-84.89
Rockville, IN	39.763	-87.229
Saint Paul, IN	39.428	-85.628
Salem, IN	38.606	-86.101
Seymour, IN	38.959	-85.89
Shelbyville, IN	39.521	-85.777
Terre Haute, IN	39.467	-87.414
Vincennes, IN	38.677	-87.529
Washington, IN	38.659	-87.173
Waterloo, IN	39.563	-86.197
Westport, IN	39.176	-85.573
Abilene, KS	38.917	-97.214
Akron, KS	37.352	-97.015
Altamont, KS	37.19	-95.297
Andover, KS	37.714	-97.136
Ashland, KS	37.189	-99.766
Auburn, KS	38.906	-95.816
Augusta, KS	37.687	-96.977
Bellaire, KS	37.763	-97.267
Belleville, KS	39.824	-97.633
Beloit, KS	39.456	-98.106
Burlington, KS	38.194	-95.743
Caldwell, KS	37.032	-97.607
Carbondale, KS	38.819	-95.689
Clearwater, KS	37.503	-97.504
Columbus, KS	37.169	-94.844
Derby, KS	37.546	-97.269
Edwardsville, KS	39.061	-94.82
El Dorado, KS	37.817	-96.862
Emporia, KS	38.404	-96.182
Erie, KS	37.568	-95.243
Eureka, KS	37.824	-96.289
Gardner, KS	38.811	-94.927
Great Bend, KS	38.364	-98.765
Hays, KS	38.879	-99.327
Highland, KS	39.86	-95.27
Hillsboro, KS	38.352	-97.204
Howard, KS	37.47	-96.264
Hutchinson, KS	38.061	-97.93
Independence, KS	37.224	-95.708
Junction City, KS	39.029	-96.831
Kansas City, KS	39.114	-94.627
Kingman, KS	37.646	-98.114
La Crosse, KS	38.531	-99.309
Lansing, KS	39.249	-94.9
Lawrence, KS	38.972	-95.235
Leavenworth, KS	39.311	-94.922
Leawood, KS	38.967	-94.617
Lenexa, KS	38.954	-94.734
Lincoln, KS	39.041	-98.145
Manhattan, KS	39.184	-96.572
Mankato, KS	39.787	-98.21
Marion, KS	38.348	-97.017
Marysville, KS	39.841	-96.647
Midland, KS	39.028	-95.242
Minneapolis, KS	39.122	-97.707
Newton, KS	38.047	-97.345
Norton, KS	39.834	-99.892
Oakland, KS	39.067	-95.636
Ogden, KS	39.111	-96.706
Olathe, KS	38.881	-94.819
Oswego, KS	37.168	-95.11
Ottawa, KS	38.616	-95.268
Overland Park, KS	38.982	-94.671
Oxford, KS	37.274	-97.169
Peabody, KS	38.169	-97.107
Pittsburg, KS	37.411	-94.705
Pleasanton, KS	38.178	-94.711
Prairie Village, KS	38.992	-94.634
Rossville, KS	39.136	-95.952
Salina, KS	38.84	-97.611
Shawnee, KS	39.042	-94.72
Silver Lake, KS	39.104	-95.859
Spring Hill, KS	38.743	-94.826
Sterling, KS	38.21	-98.207
Topeka, KS	39.048	-95.678
Troy, KS	39.783	-95.09
Washington, KS	39.818	-97.051
Wellington, KS	37.265	-97.372
Wichita, KS	37.692	-97.338
Albany, KY	36.691	-85.135
Alexandria, KY	38.96	-84.388
Anchorage, KY	38.267	-85.533
Arlington, KY	37.761	-84.308
Ashland, KY	38.478	-82.638
Auburn, KY	36.864	-86.71
Augusta, KY	38.772	-84.007
